Date,Sender,Message
2025-02-19T11:07:39+00:00,-1001708255880,"Загроза балістики. путін нагадує, що плювати він на всіх хотів. Такі люди розуміють тільки мову сили, якою і потрібно з ними говорити."
2025-02-19T08:20:36+00:00,-1001708255880,"#вісник_санкцій 

Новини про те, що буде 16-й пакет санкцій ЄС проти РФ - це добре. Знаю, що низка наших пропозицій враховані. 

Потрібно готувати 17-й. 

Вважаю, що санкції є одним з ключових механізмів стримування російського бажання вбивати більше. 

Також необхідні додаткові ресурси обмеження російського ВПК і контролю над озброєннями росії."
2025-02-18T17:39:32+00:00,-1001708255880,"Для України, для нашого регіону та для Європи принципово, щоб будь-які перемовини щодо закінчення війни відбувалися не за спиною в ключових субʼєктів, яких зачіпають наслідки російської агресії. 

Україна, Європа – у широкому сенсі, а це і Євросоюз, і Туреччина, і Британія, – мають бути залучені разом з Америкою до розмов і розробки потрібних безпекових гарантій, які стосуються долі нашої частини світу. 

Щоб війна закінчилася надійним і тривалим миром, потрібно не допускати жодних помилок. Це можливо виключно тоді, коли перемовини справедливі й гарантії розробляються за участі всіх, хто їх реально спроможний дати. Сьогодні ми обговорили це питання з Президентом Ердоганом, і я вдячний йому за розуміння."
2025-02-18T14:20:34+00:00,-1001708255880,"​​18 лютого 2022, за шість днів до повномасштабного вторгнення, року Росія розпочала масову депортацію українських дітей. 

Вже до ранку 19 лютого понад 2 700 дітей, переважно вихованці дитячих будинків та інтернатів, були вивезені до Росії. Їхні імена, а також дату та місце народження народження сфальсифікували та видали російські паспорти. Деяких дітей пізніше передали в прийомні родини або віддали на усиновлення, назавжди відриваючи їх від рідної землі. Росія виправдовує ці дії “порятунком від небезпеки”, але саме вона створила цю небезпеку.

Росія почала викрадати наших дітей ще до повномасштабного вторгнення, що доводить — це був спланований злочин з метою стерти українську ідентичність дітей та примусово асимілювати їх. РФ намагається замаскувати цей злочин під евакуацію через небезпеку. Але правда в тому, що небезпеку для наших дітей створила та продовжує створювати вона сама.

Депортація — це не евакуація. Це воєнний злочин та злочин проти людяності, за який рф має бути покарана.

Нам вдалося повернути 1221 дитину, але тисячі досі залишаються заручниками РФ. Ми продовжуємо боротися за повернення кожної української дитини, викраденої росією. Без винятків. Без умов.

#BringKidsBack"
2025-02-18T09:26:40+00:00,-1001708255880,"Росіяни використовують у виготовленні ракет Х-69 компоненти, які зроблені в білорусі."
2025-02-17T18:47:45+00:00,-1001708255880,"Під час візиту з Президентом та командою в ОАЕ був радий побачитися з добрим другом, Шейхом Тахнуном бін Заєдом Аль Нахаяном, заступником правителя Абу-Дабі та радником з національної безпеки.

Був важливий візит, обговорили багато питань, зокрема, повернення наших полонених, яких утримує росія."
2025-02-17T08:30:33+00:00,-1001708255880,Росія продовжує отримувати удари по НПЗ. За терор українців буде розплата.
2025-02-16T12:49:45+00:00,-1001708255880,"​​Мюнхен. Одна з найважливіших конференцій з безпеки за останні роки, під час якої справді відбулося чимало, що може свідчити про напрацювання плану завершення війни. 

Українська делегація привезла в Німеччину мужність та стійкість української нації. І впевненість у завтрашньому дні, хоч ми і є країною, яка воює. 

Була справді предметна розмова з віцепрезидентом США Джей Ді Венсом, спецпредставником президента США з питань України та рф Кітом Келлогом. Україна чітко визначила червоні лінії власних інтересів. Розмова про угоду щодо рідкоземельних ресурсів буда наповнена конкретикою, але вона потребує ще часу та ідей для доопрацювання. 

На кожній зустрічі, у кожному діалозі ми відстоювали лінію, що діалог про безпеку Європи не може бути без України та ЄС. 

Інформація про всі зустрічі з росіянами - це фейк. Не було зустрічей і не плануються, поки ми не напрацюємо план. Президент чітко відповів на ці запитання.

Ми говорили про гарантії безпеки. І Президент чітко дав зрозуміти, що будь-яка угода, якщо вона буде ухвалена без України, ми її не приймемо. І в гарантіях безпеки нам потрібні США. Ми ніколи не ухвалимо рішень, які будуть проти українських інтересів. 

Переговори продовжуються.

До речі, під час зустрічі з очільником МЗС Китаю нагадав про удар росії по ЧАЕС. 

Москва несе ядерну загрозу для світу. Попереду в нас нові етапи перемовин. І ми стоятимемо далі на ключових інтересах України - справедливий мир."
2025-02-16T10:37:40+00:00,-1001708255880,"Україна хоче залучити американських інвесторів в стратегічні галузі та отримати сильні гарантії безпеки.

Основний меседж Президента Володимира Зеленського – ситуація у світі потребує від Європи сили та єдності, щоб бути здатною відповісти на будь-які виклики. Крім того, під час зустрічей у Мюнхені з віцепрезидентом США Джей Ді Венсом та іншими 
американськими офіційними особами Україна отримала зобов’язання щодо продовження підтримки та політичну волю досягти сталого миру. 

Президент дав чітко зрозуміти, що будь-які плани, підготовлені без України, є неприйнятними. Гарантії безпеки мають бути сильними, ефективними та реальними, і включати США."
2025-02-15T21:06:23+00:00,-1001708255880,"Разом з міністром закордонних справ Андрієм Сибігою провели зустріч із міністром закордонних справ КНР Ван Ї у Мюнхені.

Позитивно відзначили активізацію політичного діалогу між Україною та Китаєм минулого року та обговорили можливість подальших контактів на найвищому рівні.

Підтвердили взаємну повагу до територіальної цілісності України та Китаю як основи українсько-китайських двосторонніх відносин.

Під час зустрічі обговорили також розвиток двосторонніх відносин і торгівлі, адже Китай є одним із найбільших торговельних партнерів України.

Поінформували очільника МЗС Китаю про удар РФ дроном по ЧАЕС, який створив ризики ядерного інциденту. Наголосили на неприйнятності подібних ризиків для ядерної та радіаційної безпеки, які створює РФ, та подякували китайській стороні за принципову позицію щодо цього питання. 

Розповіли про бачення України шляхів досягнення всеосяжного, справедливого та стійкого миру."
