Date,Sender,Message
2025-02-13T09:23:26+00:00,-1001863854271,"Глава Пентагона Пит Хегсет заявил, что быстрый толчок к миру «не является предательством» Украины, и что российская агрессия стала «перезагрузкой» НАТО.

Также он назвал президента США Дональда Трампа «лучшим переговорщиком на планете»."
2025-02-13T08:04:38+00:00,-1001863854271,"Продовжуємо збір на два БПЛА Mavic 3 Pro для бійців 148-ої ОАБр ЗСУ на Покровський напрямок.

Залишилось зібрати – 106 741 грн.


💸 МоноБанка

Номер картки банки – 4441 1111 2799 8015


🔵 Зв'язок – @Anton_Grad
✈️допомагайте репостом✈️"
2025-02-12T21:33:22+00:00,-1001863854271,"На Северском направлении на западной окраине посёлка Белогоровка российский солдат передвигается вдоль улицы Школьная и подходит к лежащему раненому российскому солдату, с которым беседует более 1 минуты, пока в них не прилетает сброс с БПЛА ВСУ. 

Добавлена серая зона. Конфигурация фронта на уточнении.

🔵Подписаться 
🟥YouTube
📍Карта"
2025-02-10T08:07:28+00:00,-1001863854271,"Со сбора на комплектующие к FPV-дронам и БПЛА Mavic 3 Pro снял 25 000 грн для оплаты 50-и приемников. 

Продолжаем сбор на БПЛА Mavic 3 Pro

💸 МоноБанка

Номер картки банки – 4441 1111 2799 8015"
2025-02-09T11:48:29+00:00,-1001863854271,"От Бахмута до Часового Яра противник строит специальный коридор для переброски техники, защищённый от FPV-дронов плотной сеткой. По сообщениям противника, примерно 2 километра участка уже готово.

Ранее российские военные устанавливали рыболовные сетки вдоль дороги на подступах к Бахмуту и вдоль нескольких центральных улиц последнего.

🔵Подписаться"
2025-02-08T16:04:57+00:00,-1001863854271,"Зенитно-ракетное подразделение 28-й ОМБр сбило российский Су-25 с помощью ПЗРК «Игла» на окраине Горловки. Вслед за этим вертолет Ми-8 попытался эвакуировать пилота, но, будучи уже на земле, попал в засаду дроноводов, которые атаковали вертолет поисково-спасательной группы и сорвали операцию."
2025-02-07T04:52:59+00:00,-1001863854271,"Фронтовая сводка на утро 7 февраля:

В Курской области идут бои в районе н.п. Уланок, Фанасеевка и Черкасская Конопелька. 

На Купянском направлении российские войска продолжают штурм н.п. Западное и Двуречная, и давят с района н.п. Новомлынск в направлении н.п. Фиголевка. Конфигурация фронта на уточнении.

В Часовом Яре бои идут за оставшуюся часть микрорайона «Новосеверный», южнее «Часовоярского огнеупорного комбината» и в направлении южной части города с района урочища «Долгое-II».
 
В районе Торецка сохраняется высокая интенсивность боевых действий в южной части района «Забалка», в районе северных терриконов, за шахту «Торецкая» и в северной части н.п. Крымское. 

На Покровском Константинопольском и Великоновосёлковском направлениях ситуация без существенных изменений.

🔵Подписаться 
🟥YouTube
📍Карта"
2025-02-06T14:54:49+00:00,-1001863854271,"Украина получила первые французские истребители Mirage 2000, сообщил министр обороны Франции Себастьян Лекорню

Министр обороны Украины Рустем Умеров сообщил, что истребители Mirage 2000 уже в Украине, а также прибыли дополнительные F-16 из Нидерландов.

🔵Подписаться"
2025-02-04T04:58:29+00:00,-1001863854271,"На Часовоярском направлении противник имеет ограниченные тактические успехи в микрорайоне «Новосеверный» и южнее в районе урочища Долгое-II.

Напоминаю за сбор на комплектующие к FPV-дронам и БПЛА Mavic.

🔵Подписаться 
📍Карта"
2025-02-02T14:31:45+00:00,-1001863854271,"На Северском направлении российские войска при поддержке бронетехники атаковали в районе заказника Золотаревский и восточную часть н.п. Верхнекаменское. Дроноводам ВСУ удалось разбить бронетехнику противника, пехотные группы которого предпринимают попытки закрепиться в ряде позиций. Предварительно добавил серую зону, результат боя на уточнении."
